Strain,Pathotype,NCBI ID,NCBI Full,Taxon ID,ORFs,Model Name,Genes,Reactions,Metabolites,Comments
Escherichia coli IAI39,ExPec: UPEC,CU928164,CU928164.2,585057,4730,iECIAI39_1322,1322,2723,1958,
Escherichia coli NA114,ExPec: UPEC,CP002797,CP002797.2,1033813,4873,iECNA114_1301,1301,2720,1928,
Escherichia coli UMN026,ExPec: UPEC,CU928163,CU928163.2,585056,4823,iECUMN_1333,1333,2742,1936,
Escherichia coli UTI89,ExPec: UPEC,CP000243,CP000243.1,364106,5017,iUTI89_1310,1310,2727,1943,
Shigella boydii CDC 3083-94,Shigella,CP001063,CP001063.1,344609,4246,iSbBS512_1146,1146,2594,1912,
Shigella boydii Sb227,Shigella,CP000036,CP000036.1,300268,4133,iSBO_1134,1134,2593,1910,
Shigella dysenteriae Sd197,Shigella,CP000034,CP000034.1,300267,4270,iSDY_1059,1059,2541,1890,
Shigella flexneri 2002017,Shigella,CP001383,CP001383.1,591020,4372,iSFxv_1172,1172,2640,1919,
Shigella flexneri 2a str. 2457T,Shigella,AE014073,AE014073.1,198215,4060,iS_1188,1188,2621,1915,
Shigella flexneri 2a str. 301,Shigella,AE005674,AE005674.2,198214,4177,iSF_1195,1195,2632,1918,
Shigella flexneri 5 str. 8401,Shigella,CP000266,CP000266.1,373384,4114,iSFV_1184,1184,2623,1917,
Shigella sonnei Ss046,Shigella,CP000038,CP000038.1,300269,4218,iSSON_1240,1240,2695,1938,
